iter	Passed	Remaining
405	5978	67645
406	5991	67617
407	6006	67605
408	6021	67595
409	6038	67598
410	6052	67583
411	6066	67557
412	6081	67540
413	6095	67523
414	6122	67637
415	6142	67680
416	6156	67665
417	6172	67657
418	6186	67633
419	6199	67601
420	6212	67566
421	6225	67541
422	6239	67512
423	6252	67483
424	6266	67456
425	6280	67434
426	6294	67410
427	6308	67387
428	6321	67356
429	6336	67340
430	6360	67431
431	6391	67585
432	6417	67689
433	6435	67703
434	6451	67707
435	6494	67980
436	6543	68324
437	6577	68506
438	6707	69685
439	6736	69818
440	6755	69842
441	6772	69842
442	6789	69838
443	6812	69907
444	6836	69981
445	6852	69970
446	6869	69968
447	6883	69943
448	6899	69932
449	6915	69920
450	6944	70045
451	6957	70010
452	6971	69978
453	6984	69942
454	6998	69908
455	7012	69876
456	7028	69868
457	7043	69852
458	7057	69820
459	7071	69797
460	7086	69778
461	7101	69750
462	7115	69729
463	7130	69705
464	7149	69728
465	7163	69694
466	7176	69663
467	7190	69630
468	7204	69600
469	7225	69643
470	7244	69658
471	7259	69640
472	7275	69632
473	7293	69638
474	7315	69694
475	7331	69677
476	7346	69656
477	7361	69638
478	7378	69642
479	7396	69648
480	7415	69672
481	7441	69749
482	7471	69875
483	7501	69993
484	7521	70017
485	7545	70087
486	7563	70091
487	7579	70082
488	7596	70073
489	7612	70068
490	7636	70128
491	7662	70211
492	7698	70377
493	7728	70499
494	7759	70620
495	7791	70749
496	7818	70840
497	7922	71616
498	7958	71787
499	7976	71790
500	7991	71766
501	8012	71794
502	8027	71770
503	8044	71759
504	8059	71740
505	8077	71744
506	8092	71713
507	8106	71683
508	8120	71650
509	8134	71618
510	8154	71636
511	8167	71594
512	8181	71558
513	8194	71522
514	8208	71482
515	8221	71443
516	8234	71405
517	8249	71375
518	8263	71348
519	8276	71307
520	8290	71271
521	8305	71251
522	8321	71231
523	8334	71192
524	8347	71155
525	8361	71123
526	8375	71086
527	8389	71060
528	8405	71039
529	8421	71025
530	8437	71012
531	8451	70982
532	8466	70960
533	8483	70947
534	8499	70934
535	8514	70915
536	8530	70893
537	8545	70872
538	8561	70854
539	8575	70828
